depth[mm]	HF [V]	NF [V]	TGC [dB]
110,9	0,001	-0,001	0,000
111,1	0,001	-0,001	0,017
111,2	0,001	-0,001	0,000
111,3	0,000	0,000	0,000
111,5	0,000	0,000	0,000
111,6	0,000	0,000	0,035
111,8	0,000	0,000	0,000
111,9	0,000	0,000	0,035
112,0	0,000	0,000	0,000
112,2	0,000	0,000	0,035
112,3	0,000	0,000	0,000
112,5	0,000	0,000	0,000
112,6	0,000	-0,001	0,000
112,7	0,001	-0,001	0,035
112,9	0,001	0,000	0,000
113,0	0,001	0,000	0,035
113,1	0,000	0,000	0,000
113,3	0,000	-0,001	0,017
113,4	0,001	-0,001	0,000
113,6	0,001	0,000	0,000
113,7	0,001	0,000	0,017
113,8	0,001	0,000	0,000
114,0	0,000	-0,001	0,000
114,1	0,000	0,000	0,035
114,3	0,001	0,000	0,000
114,4	0,001	0,000	0,017
114,5	0,001	0,000	0,000
114,7	0,001	-0,001	0,017
114,8	0,001	0,000	0,000
115,0	0,001	0,000	0,000
115,1	0,001	0,000	0,000
115,2	0,001	-0,001	0,017
115,4	0,001	-0,001	0,000
115,5	0,001	0,000	0,017
115,6	0,000	0,000	0,000
115,8	0,000	0,000	0,000
115,9	0,000	0,000	0,000
116,1	0,000	0,000	0,017
116,2	0,000	-0,001	0,000
116,3	0,001	-0,001	0,017
116,5	0,001	0,000	0,000
116,6	0,001	0,000	0,035
116,8	0,001	0,000	0,000
116,9	0,001	-0,001	0,000
117,0	0,001	0,000	0,000
117,2	0,001	0,000	0,035
117,3	0,001	0,000	0,000
117,5	0,001	0,000	0,070
117,6	0,001	-0,001	0,000
117,7	0,001	0,000	0,017
117,9	0,001	0,000	0,000
118,0	0,001	0,000	0,000
118,1	0,001	-0,001	0,000
118,3	0,001	-0,001	0,017
118,4	0,001	0,000	0,000
118,6	0,001	0,000	0,000
118,7	0,001	0,000	0,000
118,8	0,001	-0,001	0,035
119,0	0,001	-0,001	0,017
119,1	0,001	0,000	0,035
119,3	0,001	0,000	0,000
119,4	0,000	0,000	0,000
119,5	0,000	0,000	0,000
119,7	0,001	0,000	0,017
119,8	0,001	-0,001	0,000
120,0	0,001	-0,001	0,035
120,1	0,001	0,000	0,000
120,2	0,001	0,000	0,017
120,4	0,000	0,000	0,000
120,5	0,000	0,000	0,035
120,7	0,000	0,000	0,000
120,8	0,000	-0,001	0,052
120,9	0,001	0,000	0,000
121,1	0,000	0,000	0,017
121,2	0,000	0,000	0,000
121,3	0,001	-0,001	0,000
121,5	0,001	-0,001	0,000
121,6	0,001	0,000	0,017
121,8	0,001	0,000	0,000
121,9	0,001	0,000	0,017
122,0	0,000	0,000	0,000
122,2	0,000	0,000	0,070
122,3	0,000	-0,001	0,017
122,5	0,001	0,000	0,035
122,6	0,001	0,000	0,000
122,7	0,001	-0,001	0,052
122,9	0,001	-0,001	0,000
123,0	0,001	-0,001	0,017
123,2	0,001	-0,001	0,000
123,3	0,001	0,000	0,017
123,4	0,001	-0,001	0,000
123,6	0,001	-0,001	0,000
123,7	0,001	0,000	0,000
123,8	0,001	0,000	0,035
124,0	0,001	0,000	0,000
124,1	0,001	0,000	0,017
124,3	0,001	-0,001	0,000
124,4	0,001	-0,001	0,070
124,5	0,001	0,000	0,000
124,7	0,001	0,000	0,000
124,8	0,001	-0,001	0,000
125,0	0,001	-0,001	0,017
125,1	0,001	0,000	0,000
125,2	0,001	0,000	0,000
125,4	0,001	0,000	0,000
125,5	0,001	-0,001	0,070
125,7	0,001	-0,001	0,000
125,8	0,001	0,000	0,017
125,9	0,001	0,000	0,017
126,1	0,001	-0,001	0,017
126,2	0,001	-0,001	0,000
126,4	0,001	0,000	0,017
126,5	0,001	0,000	0,000
126,6	0,001	-0,001	0,035
126,8	0,001	-0,001	0,000
126,9	0,001	0,000	0,000
127,0	0,001	0,000	0,035
127,2	0,001	-0,001	0,035
127,3	0,001	-0,001	0,000
127,5	0,001	0,000	0,000
127,6	0,001	0,000	0,000
127,7	0,001	0,000	0,070
127,9	0,001	0,000	0,000
128,0	0,001	0,000	0,000
128,2	0,001	-0,001	0,000
128,3	0,001	-0,001	0,000
128,4	0,001	0,000	0,000
128,6	0,001	0,000	0,017
128,7	0,001	-0,001	0,000
128,9	0,001	-0,001	0,035
129,0	0,001	-0,001	0,000
129,1	0,001	0,000	0,017
129,3	0,001	-0,001	0,000
129,4	0,001	-0,001	0,000
129,5	0,001	-0,001	0,000
129,7	0,001	-0,001	0,017
129,8	0,001	-0,001	0,000
130,0	0,001	-0,001	0,035
130,1	0,001	-0,001	0,000
130,2	0,001	-0,001	0,000
130,4	0,001	-0,001	0,000
130,5	0,001	-0,001	0,017
130,7	0,001	-0,001	0,000
130,8	0,001	-0,001	0,017
130,9	0,001	-0,001	0,000
131,1	0,001	-0,001	0,052
131,2	0,001	-0,001	0,000
131,4	0,001	-0,001	0,000
131,5	0,001	-0,001	0,017
131,6	0,001	-0,001	0,052
131,8	0,001	-0,001	0,000
131,9	0,001	-0,001	0,017
132,0	0,001	-0,001	0,000
132,2	0,001	-0,001	0,035
132,3	0,001	-0,001	0,000
132,5	0,001	-0,001	0,035
132,6	0,001	0,000	0,000
132,7	0,001	0,000	0,035
132,9	0,001	0,000	0,000
133,0	0,001	-0,001	0,052
133,2	0,001	-0,001	0,017
133,3	0,001	-0,001	0,000
133,4	0,001	0,000	0,000
133,6	0,001	0,000	0,035
133,7	0,001	-0,001	0,000
133,9	0,001	-0,001	0,017
134,0	0,002	-0,001	0,000
134,1	0,002	0,000	0,017
134,3	0,001	0,000	0,000
134,4	0,001	-0,001	0,035
134,6	0,001	-0,001	0,000
134,7	0,001	0,000	0,000
134,8	0,002	0,000	0,017
135,0	0,002	-0,001	0,017
135,1	0,002	-0,002	0,000
135,2	0,002	0,000	0,017
135,4	0,002	0,001	0,000
135,5	0,002	0,000	0,035
135,7	0,003	-0,002	0,000
135,8	0,003	-0,001	0,017
135,9	0,003	0,002	0,000
136,1	0,003	0,002	0,052
136,2	0,004	-0,003	0,000
136,4	0,006	-0,005	0,017
136,5	0,008	0,002	0,000
136,6	0,009	0,009	0,035
136,8	0,009	0,005	0,000
136,9	0,007	-0,005	0,000
137,1	0,007	-0,007	0,000
137,2	0,008	0,003	0,017
