time [µs]	HF [V]	NF [V]	TGC [dB]
71,8	0,001	0,000	0,157
71,9	0,000	0,000	0,157
72,0	0,000	0,000	0,157
72,1	0,000	0,000	0,157
72,2	0,000	0,000	0,157
72,3	0,000	0,000	0,157
72,4	0,000	0,000	0,157
72,5	0,000	0,000	0,157
72,6	0,000	0,000	0,157
72,7	0,000	0,000	0,157
72,8	0,001	0,000	0,157
72,9	0,001	0,001	0,157
73,0	0,001	0,001	0,157
73,1	0,001	0,000	0,157
73,2	0,001	0,000	0,157
73,3	0,000	0,000	0,157
73,4	0,000	0,000	0,157
73,5	0,000	0,000	0,157
73,6	0,000	0,000	0,157
73,7	0,000	0,000	0,157
73,8	0,000	0,000	0,157
73,9	0,000	0,000	0,157
74,0	0,000	0,000	0,157
74,1	0,000	0,000	0,140
74,2	0,000	0,000	0,157
74,3	0,001	0,000	0,157
74,4	0,001	0,001	0,157
74,5	0,001	0,001	0,157
74,6	0,001	0,001	0,157
74,7	0,001	0,000	0,157
74,8	0,001	-0,001	0,157
74,9	0,000	0,000	0,157
75,0	0,000	0,000	0,157
75,1	0,000	0,000	0,157
75,2	0,000	0,000	0,157
75,3	0,000	0,000	0,157
75,4	0,000	0,000	0,157
75,5	0,001	0,001	0,157
75,6	0,001	0,000	0,157
75,7	0,001	0,000	0,157
75,8	0,000	0,000	0,157
75,9	0,000	0,000	0,157
76,0	0,000	0,000	0,157
76,1	0,000	0,000	0,157
76,2	0,000	0,000	0,157
76,3	0,001	0,000	0,157
76,4	0,001	0,000	0,157
76,5	0,001	0,000	0,157
76,6	0,001	0,000	0,157
76,7	0,001	0,000	0,157
76,8	0,001	0,000	0,157
76,9	0,001	0,000	0,157
77,0	0,001	-0,001	0,157
77,1	0,000	0,000	0,157
77,2	0,000	0,000	0,157
77,3	0,000	0,000	0,157
77,4	0,000	0,000	0,140
77,5	0,000	0,000	0,157
77,6	0,000	0,000	0,157
77,7	0,000	0,000	0,157
77,8	0,000	0,000	0,157
77,9	0,000	0,000	0,157
78,0	0,000	0,000	0,157
78,1	0,000	0,000	0,157
78,2	0,000	0,000	0,157
78,3	0,000	0,000	0,157
78,4	0,000	0,000	0,157
78,5	0,000	0,000	0,157
78,6	0,000	0,000	0,157
78,7	0,000	0,000	0,157
78,8	0,000	0,000	0,157
78,9	0,000	0,000	0,157
79,0	0,000	0,000	0,157
79,1	0,000	0,000	0,157
79,2	0,000	0,000	0,157
79,3	0,000	0,000	0,157
79,4	0,000	0,000	0,157
79,5	0,000	0,000	0,157
79,6	0,000	0,000	0,157
79,7	0,000	0,000	0,157
79,8	0,000	0,000	0,157
79,9	0,000	0,000	0,157
80,0	0,000	0,000	0,157
80,1	0,000	0,000	0,157
80,2	0,000	0,000	0,157
80,3	0,000	0,000	0,157
80,4	0,000	0,000	0,157
80,5	0,000	0,000	0,157
80,6	0,000	0,000	0,157
