time,Y 
0.565801,0.5750803
0.565823,0.5725305
0.565846,0.5725305
0.565868,0.5750803
0.565890,0.5687056
0.565912,0.5725305
0.565934,0.5725305
0.565957,0.5687056
0.565979,0.5750803
0.566001,0.5725305
0.566023,0.5725305
0.566045,0.5750803
0.566068,0.5725305
0.566090,0.5750803
0.566112,0.5699806
0.566134,0.5725305
0.566157,0.5750803
0.566179,0.5687056
0.566201,0.5725305
0.566223,0.5725305
0.566245,0.5687056
0.566268,0.5750803
0.566290,0.5725305
0.566312,0.5738054
0.566334,0.5712555
0.566356,0.5687056
0.566379,0.5750803
0.566401,0.5738054
0.566423,0.5725305
0.566445,0.5750803
0.566467,0.5699806
0.566490,0.5725305
0.566512,0.5712555
0.566534,0.5725305
0.566556,0.5712555
0.566578,0.5687056
0.566601,0.5738054
0.566623,0.5712555
0.566645,0.5725305
0.566667,0.5750803
0.566690,0.5687056
0.566712,0.5712555
0.566734,0.5712555
0.566756,0.5699806
0.566778,0.5750803
0.566801,0.5712555
0.566823,0.5712555
0.566845,0.5763553
0.566867,0.5687056
0.566889,0.5725305
0.566912,0.5687056
0.566934,0.5725305
0.566956,0.5712555
0.566978,0.5687056
0.567000,0.5750803
0.567023,0.5712555
0.567045,0.5738054
0.567067,0.5738054
0.567089,0.5687056
0.567111,0.5725305
0.567134,0.5725305
0.567156,0.5687056
0.567178,0.5750803
0.567200,0.5725305
0.567223,0.5712555
0.567245,0.5750803
0.567267,0.5687056
0.567289,0.5725305
0.567311,0.5687056
0.567334,0.5725305
0.567356,0.5725305
0.567378,0.5687056
0.567400,0.5738054
0.567422,0.5725305
0.567445,0.5725305
0.567467,0.5750803
0.567489,0.5687056
0.567511,0.5725305
0.567533,0.5725305
0.567556,0.5699806
0.567578,0.5750803
0.567600,0.5712555
0.567622,0.5712555
0.567644,0.5738054
0.567667,0.5725305
0.567689,0.5712555
0.567711,0.5725305
0.567733,0.5725305
0.567756,0.5712555
0.567778,0.5699806
0.567800,0.5738054
0.567822,0.5712555
